CO/STATE,RECORDED,DATE,GRANTOR,Address,CITY,GRANTEE,PRICE,TYPE,BUILT,LAND AC,IMP SF,UNITS,LAND SF,$/SF IMP,$/UNIT IMP,$/SF LAND,GARAGE,CAP RATE,NOI,EXP,EGI,OCCUP,Corner Y/N,Reg Site shape,Utilities,Location,Quality,Condition,Description,Comments
AD-CO,2016000012250,2/15/2017,Stone Mtn Land Owners LP etal,11525 Community Ctr Dr,Northglenn,Carrick Bend Acquisition LP,47580000,Apt,2015,9.00,264516,228,392040,179.8756975,208684.2105,121.3651668,78,,,,,,Y,Y,Y,3,3,3,Multi,Carrick Bend Apts
AD-CO,2016000010228,2/8/2016,JCK Funding LLC,2921 W 120th Ave,Westminster,BNH Investments LLC,5180000,Off,2006,1.47,18987,0,64033,272.8182441,0,80.89553544,0,0.0745,385910,,,1.0000,Y,Y,Y,2,3,3,Land Title,Country Club Village
AD-CO,2016000010646,2/9/2016,Granite Peak Property Investment,3740 E 104th Ave,Thornton,Pecos  LLC,1620000,Aut,2000,0.61,6672,0,26572,242.8057554,0,60.9673486,0,0.0625,101250,0,101250,1.0000,Y,Y,Y,2,3,3,"Big O, 7 yrs, CPI",Big O Tires
AR-CO,D6012198,1/19/2016,KBS Companies,8390 E Crescent Pkwy,Greenwod Village,PM Realty Group,30025000,Off,1997,2.08,135000,0,90605,222.4074074,0,331.3842092,0,0.0735,2206838,1350000,3556838,1.0000,Y,Y,Y,3,3,2,Multi,Greenwood Centre
AR-CO,D6011914,2/2/2016,Watermark JSQ @ Southlands,24631 E Applewod Dr,Aurora,Braddock & Logan Venture Group,78000000,Apt,2015,20.10,332800,300,875556,234.375,0,89.08624919,300,0.0500,3901112,1860000,5761112,0.9500,Y,Y,Y,2,3,3,Multi,Watermark @ Southlands
AR-CO,D6012198,2/4/2016,Velocis Greenwood LP,5460 S Quebec St,Greenwod Village,Landmark Centre Assoc,13600000,Off,1984,2.08,75950,0,90605,179.0651745,0,150.1024228,0,0.0735,999600,759500,1759100,1.0000,Y,Y,Y,3,3,2,Multi,Greenwood Centre
AR-CO,D6012198,2/17/2016,Prudential Real Estate Investors,6200 S Syracuse St,Greenwod Village,DPC Development Co,41650000,Off,1984,2.08,237681,0,90605,175.2348736,0,459.6886699,0,0.0743,3094607,2609737,5704344,0.9900,Y,Y,Y,3,3,2,Multi,"Carrerra Place, Truven and Envision Health."
AR-CO,D6010197,1/29/2016,Delaware Investments LP,2860 S Tejon St,Englewood,Tejono Warehouse LLC,1650000,Ind,1977,0.69,23187,0,30056,71.16056411,0,54.89679403,0,,,,,,Y,Y,Y,2,3,2,Alpine Roastery,N/A
AR-CO,D6000045,1/4/2016,Centennial Corners LLC,0,Centennial,Murphy Oil LLC,530000,Lnd,0,1.19,0,0,51836,#DIV/0!,0,10.22447547,0,,,,,,Y,Y,Y,3,3,2,Murphy Oil,C-Store
AR-CO,D6012849,2/1/2016,TNREF III Aurora Corp Plaza,2450 S Peoria St,Aurora,CU Health,525000,Lnd,0,5.68,0,0,247421,#DIV/0!,0,2.121891126,0,,,,,,Y,Y,Y,1,1,2,CU Health,Int Office site
AR-CO,D6014923,2/9/2016,Sharon Denise Green-Hughes,1485 Kingston St,Aurora,JYC Inc,360000,Ind,1960,0.22,5490,0,9583,65.57377049,0,37.56652405,0,,,,,,Y,Y,Y,1,1,2,Multi,None
BO-CO,03497293,1/22/2016,University Hill Parnters LLC,1143-55 13th St,Boulder,Clifford Brown Etal,11330000,Apt,2011,0.26,18383,15,11341,616.3303052,0,999.0300679,0,0.0524,593190,319410,912600,0.9500,Y,Y,Y,3,3,3,Mult Apt/Ret,Lofts on the Hill
BO-CO,03499771,2/5/2016,Erie Commercial Venture,SWC Erie Pkwy & Cnty Line Rd,Erie,Erie Four Corners LLC,7780000,Lnd,0,46.61,0,0,2030332,#DIV/0!,0,3.831886378,0,,,,,,Y,Y,Y,2,2,2,Mult Apt/Ret,MU land
BO-CO,03497211,1/21/2016,Pearl Place Associates,S/S Pearl St 350' W of 30th St,Boulder,Google Inc,7010000,Lnd,0,1.40,0,0,60921,#DIV/0!,0,115.0670541,0,,,,,,Y,Y,Y,3,3,3,Google,S/T Office Site
BO-CO,0349909,2/1/2016,Bridge Commercial Ptnrs,3000 Pearl St ,Boulder,30th & Pearl Boulder LLC,3100000,Off,1978,0.81,13548,0,35284,228.8160614,0,87.85851944,0,,,,,,Y,Y,Y,3,3,3,S/T Office,None
BO-CO,03499910,2/4/2016,Alvin E Baker,2120 32nd St,Boulder,30th & Pearl Boulder LLC,950000,Lnd,0,0.69,0,0,30142,#DIV/0!,0,31.51748391,0,,,,,,Y,Y,Y,3,3,3,S/T Office,None
